player_id,total_distance_px,frames_tracked,first_frame,last_frame,missing_frame_gaps
3,222.1094,19,31,115,2
4,110.4677,20,118,137,0
6,1038.3052,133,0,132,0
7,1177.587,95,0,146,1
8,1085.0153,101,0,202,1
9,1114.004,133,0,132,0
10,1408.0822,226,0,225,0
11,1535.5875,226,0,225,0
12,646.0442,93,0,128,1
13,1281.0629,205,0,204,0
14,1681.0528,226,0,225,0
15,173.1824,33,0,32,0
16,133.5082,26,0,55,1
19,1143.8688,114,42,225,2
27,531.165,73,129,201,0
29,450.6529,88,138,225,0
34,69.544,11,204,214,0
35,13.5686,3,209,211,0
36,67.6543,9,217,225,0
