epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6291,1.47356,2.10762,1.36809,0.66148,0.4143,0.43248,0.23905,1.77203,4.26356,1.578,0.00031,0.00031,0.00031
2,44.9982,1.32924,1.25899,1.26795,0.58592,0.48895,0.51855,0.31332,1.47875,3.00641,1.5252,0.000605052,0.000605052,0.000605052
3,60.1894,1.32722,1.15781,1.27721,0.61855,0.65383,0.64779,0.3791,1.32115,1.48412,1.48721,0.00087476,0.00087476,0.00087476
4,75.1331,1.36162,1.16575,1.30576,0.69894,0.64792,0.70002,0.4439,1.33387,1.19711,1.38804,0.0008812,0.0008812,0.0008812
5,95.3282,1.26271,1.03449,1.23951,0.73467,0.69724,0.73726,0.48877,1.20525,1.23217,1.34283,0.0008416,0.0008416,0.0008416
6,114.236,1.22021,0.96061,1.2239,0.81444,0.7872,0.83472,0.55799,1.12369,1.01826,1.21151,0.000802,0.000802,0.000802
7,130.037,1.2234,0.9061,1.20081,0.84647,0.80552,0.82946,0.53684,1.15702,0.90718,1.20351,0.0007624,0.0007624,0.0007624
8,144.864,1.17785,0.86235,1.18433,0.92599,0.80243,0.86447,0.60235,1.00139,0.79431,1.13327,0.0007228,0.0007228,0.0007228
9,160.31,1.12012,0.82813,1.16104,0.82503,0.7558,0.81585,0.58261,1.00176,0.83179,1.13279,0.0006832,0.0006832,0.0006832
10,175.543,1.09192,0.7835,1.15302,0.88263,0.8123,0.8635,0.6117,0.99759,0.74192,1.14275,0.0006436,0.0006436,0.0006436
11,191.931,1.09291,0.7906,1.12678,0.87514,0.836,0.88634,0.62105,0.96343,0.71516,1.14853,0.000604,0.000604,0.000604
12,207.65,1.08013,0.78388,1.14889,0.94884,0.81724,0.89808,0.65471,0.97211,0.66659,1.11314,0.0005644,0.0005644,0.0005644
13,223.174,1.02793,0.73391,1.11704,0.96122,0.84446,0.90327,0.66015,0.93249,0.61804,1.11727,0.0005248,0.0005248,0.0005248
14,243.697,1.01143,0.70253,1.10554,0.95413,0.83579,0.89476,0.64185,0.95351,0.66341,1.09186,0.0004852,0.0004852,0.0004852
15,259.166,1.0072,0.7088,1.10012,0.87542,0.84456,0.89057,0.66331,0.91166,0.63034,1.09317,0.0004456,0.0004456,0.0004456
16,276.155,0.93682,0.64982,1.0807,0.9361,0.82269,0.89538,0.65534,0.89413,0.66162,1.08567,0.000406,0.000406,0.000406
17,291.165,0.88577,0.60276,1.0607,0.93297,0.85359,0.90351,0.68687,0.86627,0.58977,1.0608,0.0003664,0.0003664,0.0003664
18,311.655,0.89182,0.59371,1.05875,0.9209,0.87054,0.9089,0.68503,0.88489,0.60539,1.07118,0.0003268,0.0003268,0.0003268
19,327.103,0.86713,0.57951,1.05032,0.95663,0.8548,0.90886,0.69509,0.84876,0.557,1.05903,0.0002872,0.0002872,0.0002872
20,348.15,0.85343,0.56022,1.03191,0.92684,0.86467,0.90699,0.69468,0.85636,0.55238,1.05559,0.0002476,0.0002476,0.0002476
21,363.468,0.84207,0.54479,1.02945,0.95887,0.86479,0.91637,0.7146,0.80779,0.51378,1.03869,0.000208,0.000208,0.000208
22,383.939,0.80104,0.50358,1.01424,0.96494,0.88275,0.92702,0.71472,0.80305,0.50465,1.03865,0.0001684,0.0001684,0.0001684
23,404.086,0.79381,0.50094,1.00876,0.9554,0.88832,0.92412,0.71334,0.81548,0.51062,1.04905,0.0001288,0.0001288,0.0001288
24,419.629,0.75638,0.47679,1.00007,0.97964,0.86916,0.92571,0.71157,0.79139,0.50042,1.03895,8.92e-05,8.92e-05,8.92e-05
25,435.266,0.74597,0.46639,0.9862,0.97847,0.86468,0.92652,0.71689,0.78009,0.4821,1.034,4.96e-05,4.96e-05,4.96e-05
