epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.927,1.81931,3.79251,1.56412,0.02103,0.37541,0.05109,0.02079,1.7512,3.80747,1.37385,0.00015,0.00015,0.00015
2,328.223,1.57305,3.15457,1.30641,0.02204,0.40333,0.14472,0.07537,1.86677,3.65866,1.40148,0.000297724,0.000297724,0.000297724
3,491.529,1.57902,2.46946,1.28281,0.05003,0.37213,0.25215,0.15626,1.37062,3.44208,1.15569,0.000432776,0.000432776,0.000432776
4,661.159,1.49763,1.94281,1.26836,0.97024,0.10622,0.37604,0.22849,1.3125,2.96913,1.15777,0.000555156,0.000555156,0.000555156
5,825.779,1.43079,1.65269,1.24717,0.95101,0.15682,0.46429,0.28128,1.27752,2.47992,1.1328,0.000664864,0.000664864,0.000664864
6,985.491,1.435,1.49964,1.24875,0.80369,0.367,0.58329,0.33012,1.37571,2.05305,1.23048,0.0007619,0.0007619,0.0007619
7,1151.02,1.40793,1.45194,1.24402,0.77338,0.56152,0.66391,0.41513,1.32471,1.62236,1.19341,0.0007624,0.0007624,0.0007624
8,1313.1,1.35135,1.32338,1.19273,0.85626,0.61883,0.71957,0.45145,1.22314,1.3821,1.14592,0.0007228,0.0007228,0.0007228
9,1482.23,1.33137,1.30011,1.18566,0.79837,0.65479,0.71269,0.44838,1.28249,1.34357,1.2021,0.0006832,0.0006832,0.0006832
10,1654.13,1.28193,1.24669,1.18935,0.80984,0.67706,0.75415,0.50232,1.16885,1.24395,1.12816,0.0006436,0.0006436,0.0006436
11,1832.56,1.25108,1.17448,1.14675,0.91771,0.72102,0.77652,0.52,1.1086,1.14172,1.10282,0.000604,0.000604,0.000604
12,2015.76,1.27249,1.16972,1.15573,0.87905,0.72958,0.79562,0.52618,1.10741,1.10976,1.09525,0.0005644,0.0005644,0.0005644
13,2201.06,1.23717,1.12127,1.12967,0.89906,0.73575,0.80017,0.55621,1.07265,1.06021,1.08015,0.0005248,0.0005248,0.0005248
14,2387.31,1.19051,1.08919,1.12686,0.95365,0.75375,0.82178,0.56182,1.07335,1.03469,1.07698,0.0004852,0.0004852,0.0004852
15,2570.67,1.20215,1.07745,1.12642,0.92157,0.76414,0.82225,0.582,1.06327,0.98291,1.07447,0.0004456,0.0004456,0.0004456
16,2752.11,1.12615,1.06745,1.10395,0.89795,0.78309,0.83228,0.57893,1.06186,1.02695,1.07883,0.000406,0.000406,0.000406
17,2930.59,1.0917,1.04209,1.09259,0.88926,0.79287,0.8415,0.59179,1.04766,0.99467,1.06019,0.0003664,0.0003664,0.0003664
18,3110.44,1.05702,0.98058,1.07216,0.88584,0.79111,0.8515,0.60473,1.00832,0.93583,1.04069,0.0003268,0.0003268,0.0003268
19,3294.11,1.03749,0.96518,1.0722,0.91362,0.82199,0.86171,0.61551,0.99223,0.92048,1.04128,0.0002872,0.0002872,0.0002872
20,3492.94,1.02029,0.93324,1.0556,0.95357,0.79682,0.86444,0.62133,0.98925,0.90251,1.03455,0.0002476,0.0002476,0.0002476
21,3686.51,1.03541,0.93451,1.05476,0.93001,0.8077,0.86018,0.60717,1.05039,0.94334,1.06837,0.000208,0.000208,0.000208
22,3863.74,0.99672,0.90032,1.04901,0.93625,0.82089,0.8731,0.62936,0.97637,0.86906,1.02921,0.0001684,0.0001684,0.0001684
23,4037.77,0.99692,0.88754,1.04313,0.9115,0.82578,0.87319,0.63229,0.96264,0.85952,1.02494,0.0001288,0.0001288,0.0001288
24,4210.48,0.99348,0.88384,1.04312,0.94614,0.82159,0.87372,0.62774,0.97564,0.86477,1.03323,8.92e-05,8.92e-05,8.92e-05
25,4377.16,0.97132,0.85985,1.02612,0.94636,0.82407,0.87472,0.63486,0.94997,0.84111,1.01974,4.96e-05,4.96e-05,4.96e-05
