epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2372,1.44704,1.77251,0.88206,0.89916,0.09392,0.06955,0.04775,0.57407,1.24882,0.26191,0.000328125,0.000328125,0.000328125
2,154.928,0.78329,0.8143,0.33573,0.77474,0.40953,0.37622,0.23345,0.44311,0.8571,0.20579,0.000648361,0.000648361,0.000648361
3,230.722,0.61232,0.70555,0.23654,0.75204,0.64401,0.65865,0.47698,0.40926,0.66271,0.17281,0.000955398,0.000955398,0.000955398
4,307.232,0.57175,0.55012,0.21352,0.7077,0.70369,0.69815,0.49284,0.45146,0.51497,0.21044,0.0009406,0.0009406,0.0009406
5,383.993,0.54648,0.48246,0.20934,0.80455,0.84511,0.85252,0.60495,0.3949,0.47698,0.19207,0.0009208,0.0009208,0.0009208
6,465.197,0.47615,0.48214,0.16913,0.89612,0.81544,0.84518,0.6299,0.34269,0.4761,0.16458,0.000901,0.000901,0.000901
7,541.346,0.45997,0.46453,0.15598,0.87474,0.82243,0.882,0.6437,0.3265,0.50364,0.13238,0.0008812,0.0008812,0.0008812
8,618.066,0.43844,0.45452,0.14151,0.89595,0.8291,0.87093,0.66925,0.30901,0.44944,0.11954,0.0008614,0.0008614,0.0008614
9,704.244,0.41616,0.44217,0.13993,0.88109,0.88847,0.90086,0.67942,0.28618,0.42714,0.10998,0.0008416,0.0008416,0.0008416
10,790.538,0.39908,0.42543,0.13953,0.92352,0.89987,0.92084,0.71755,0.26731,0.41125,0.11434,0.0008218,0.0008218,0.0008218
11,876.687,0.38437,0.41937,0.12116,0.94684,0.90843,0.9248,0.72003,0.2676,0.40975,0.1059,0.000802,0.000802,0.000802
12,957.798,0.35575,0.4081,0.11419,0.94612,0.88827,0.90856,0.70947,0.27515,0.39121,0.11195,0.0007822,0.0007822,0.0007822
13,1036.32,0.36743,0.42343,0.11955,0.95058,0.90349,0.91983,0.72749,0.27018,0.37961,0.11646,0.0007624,0.0007624,0.0007624
14,1119.07,0.34131,0.40179,0.11462,0.96065,0.90386,0.916,0.71674,0.26916,0.37909,0.10613,0.0007426,0.0007426,0.0007426
15,1195.7,0.34894,0.38876,0.11199,0.96317,0.9144,0.9265,0.72928,0.28342,0.35745,0.10995,0.0007228,0.0007228,0.0007228
